sequence_length,hidden_size,learning_rate,precision,recall,f1,roc_auc,threshold,predicted_anomalies,actual_anomalies
20,16,0.001,0.9482758620689655,0.9016393442622951,0.9243697478991597,0.9395138496325607,0.0011829306604340672,58,61
30,16,0.001,1.0,0.6721311475409836,0.803921568627451,0.8456755228942907,0.0010908910888247187,41,61
20,32,0.001,1.0,0.6229508196721312,0.7676767676767676,0.8439796495195024,0.004521008115261793,38,61
10,32,0.0005,0.972972972972973,0.5901639344262295,0.7346938775510204,0.8021481062747314,0.004045606311410666,37,61
10,16,0.001,0.7843137254901961,0.6557377049180327,0.7142857142857143,0.7687959299039004,0.0007812518801074475,51,61
20,16,0.0005,0.9444444444444444,0.5573770491803278,0.7010309278350515,0.8841153193894855,0.003541135415434837,36,61
10,32,0.001,0.9428571428571428,0.5409836065573771,0.6875,0.7976257772752967,0.005241211038082837,35,61
30,16,0.0005,1.0,0.47540983606557374,0.6444444444444445,0.8315432447710572,0.0028899687575176356,29,61
10,16,0.0005,0.7674418604651163,0.5409836065573771,0.6346153846153846,0.6998304126625212,0.004155839048326015,43,61
30,32,0.001,0.8333333333333334,0.4918032786885246,0.6185567010309279,0.7518371961560204,0.001150674745440483,36,61
30,32,0.0005,0.7837837837837838,0.47540983606557374,0.5918367346938775,0.7230073487846241,0.09650702401995656,37,61
30,64,0.0005,0.725,0.47540983606557374,0.5742574257425742,0.7280949689089882,0.02878323812037706,40,61
10,64,0.001,0.6458333333333334,0.5081967213114754,0.5688073394495413,0.6054267947993217,0.007645232882350682,48,61
20,32,0.0005,1.0,0.39344262295081966,0.5647058823529412,0.7682306387789711,0.04067635908722876,24,61
10,64,0.0005,0.7142857142857143,0.4098360655737705,0.5208333333333334,0.5505935556811759,0.021234047785401344,35,61
20,64,0.0005,0.9166666666666666,0.36065573770491804,0.5176470588235295,0.7139626907857546,0.06218171045184135,24,61
20,64,0.001,1.0,0.21311475409836064,0.35135135135135137,0.71791972866026,0.049524713307619095,13,61
30,64,0.001,1.0,0.18032786885245902,0.3055555555555556,0.7405313736574336,0.03208712041378021,11,61
